Episode 44/2000, Score: 30, Reward: -2.2, Avg: 57.5, Actor loss: -4.7329, Critic loss: 6.4892, Total loss: 1.7563
Episode 45/2000, Score: 100, Reward: 6.8499999999999766, Avg: 59.5, Actor loss: -4.7366, Critic loss: 6.1508, Total loss: 1.4142
Episode 46/2000, Score: 40, Reward: -1.7499999999999982, Avg: 59.5, Actor loss: -5.0070, Critic loss: 6.3690, Total loss: 1.3620
Episode 47/2000, Score: 70, Reward: 2.700000000000003, Avg: 59.5, Actor loss: -3.9754, Critic loss: 4.7472, Total loss: 0.7718
Episode 48/2000, Score: 30, Reward: -2.55, Avg: 59.0, Actor loss: -4.2257, Critic loss: 4.8426, Total loss: 0.6169
Episode 49/2000, Score: 30, Reward: -2.8999999999999986, Avg: 57.0, Actor loss: -6.2405, Critic loss: 11.9777, Total loss: 5.7371
Episode 50/2000, Score: 30, Reward: -2.6999999999999984, Avg: 55.5, Actor loss: -7.4825, Critic loss: 10.0989, Total loss: 2.6164
Episode 51/2000, Score: 80, Reward: 4.100000000000001, Avg: 58.0, Actor loss: -2.7744, Critic loss: 2.7854, Total loss: 0.0110
Episode 52/2000, Score: 30, Reward: -3.55, Avg: 54.0, Actor loss: -6.7553, Critic loss: 11.4723, Total loss: 4.7170
Episode 53/2000, Score: 90, Reward: 5.1, Avg: 54.0, Actor loss: -3.1008, Critic loss: 4.2353, Total loss: 1.1344
Episode 54/2000, Score: 40, Reward: -1.2000000000000002, Avg: 54.0, Actor loss: -6.1002, Critic loss: 9.3959, Total loss: 3.2958
Episode 55/2000, Score: 50, Reward: 1.7500000000000018, Avg: 52.5, Actor loss: -5.6956, Critic loss: 9.3741, Total loss: 3.6785
Episode 56/2000, Score: 110, Reward: 7.649999999999983, Avg: 56.0, Actor loss: -6.4315, Critic loss: 9.0590, Total loss: 2.6275
Episode 57/2000, Score: 140, Reward: 10.999999999999996, Avg: 61.5, Actor loss: -5.8188, Critic loss: 9.1476, Total loss: 3.3288
Episode 58/2000, Score: 60, Reward: 2.8500000000000014, Avg: 61.5, Actor loss: -2.3068, Critic loss: 3.1393, Total loss: 0.8325
Episode 59/2000, Score: 50, Reward: -0.29999999999999183, Avg: 58.5, Actor loss: -6.0459, Critic loss: 9.1839, Total loss: 3.1380
Episode 60/2000, Score: 140, Reward: 11.799999999999994, Avg: 62.5, Actor loss: -4.4327, Critic loss: 6.4313, Total loss: 1.9986
Episode 61/2000, Score: 40, Reward: -1.4499999999999993, Avg: 63.0, Actor loss: -4.8109, Critic loss: 6.4592, Total loss: 1.6483
Episode 62/2000, Score: 110, Reward: 7.2499999999999805, Avg: 65.5, Actor loss: -5.7018, Critic loss: 9.1958, Total loss: 3.4940
Episode 63/2000, Score: 100, Reward: 7.69999999999999, Avg: 68.5, Actor loss: -6.3921, Critic loss: 8.5917, Total loss: 2.1996
Episode 64/2000, Score: 40, Reward: -1.3499999999999996, Avg: 69.0, Actor loss: -2.9517, Critic loss: 2.5646, Total loss: -0.3871
Episode 65/2000, Score: 70, Reward: 0.6500000000000146, Avg: 67.5, Actor loss: -5.9268, Critic loss: 8.8952, Total loss: 2.9684
Episode 66/2000, Score: 30, Reward: -0.7000000000000002, Avg: 67.0, Actor loss: -2.9620, Critic loss: 2.8756, Total loss: -0.0864
Episode 67/2000, Score: 30, Reward: -0.6500000000000004, Avg: 65.0, Actor loss: -3.5468, Critic loss: 3.6308, Total loss: 0.0839
Episode 68/2000, Score: 40, Reward: -0.649999999999995, Avg: 65.5, Actor loss: -5.2135, Critic loss: 6.2953, Total loss: 1.0818
Episode 69/2000, Score: 40, Reward: 0.20000000000000195, Avg: 66.0, Actor loss: -5.8152, Critic loss: 8.7145, Total loss: 2.8993
Episode 70/2000, Score: 150, Reward: 13.999999999999972, Avg: 72.0, Actor loss: -5.9278, Critic loss: 9.5743, Total loss: 3.6466
Episode 71/2000, Score: 90, Reward: 6.7499999999999964, Avg: 72.5, Actor loss: -7.2413, Critic loss: 10.1627, Total loss: 2.9215
Episode 72/2000, Score: 110, Reward: 7.699999999999999, Avg: 76.5, Actor loss: -4.7095, Critic loss: 6.0510, Total loss: 1.3415
Episode 73/2000, Score: 30, Reward: -2.55, Avg: 73.5, Actor loss: -4.5843, Critic loss: 5.9041, Total loss: 1.3198
Episode 74/2000, Score: 30, Reward: -2.6000000000000005, Avg: 73.0, Actor loss: -5.3899, Critic loss: 6.1687, Total loss: 0.7788
Episode 75/2000, Score: 70, Reward: 2.75, Avg: 74.0, Actor loss: -6.2168, Critic loss: 8.9953, Total loss: 2.7786
Episode 76/2000, Score: 40, Reward: -2.0999999999999988, Avg: 70.5, Actor loss: -4.4983, Critic loss: 5.8216, Total loss: 1.3233
Episode 77/2000, Score: 60, Reward: 1.5500000000000025, Avg: 66.5, Actor loss: -3.7592, Critic loss: 6.8990, Total loss: 3.1398
Episode 78/2000, Score: 80, Reward: 4.499999999999989, Avg: 67.5, Actor loss: -6.0042, Critic loss: 8.4737, Total loss: 2.4695
Episode 79/2000, Score: 30, Reward: -1.2499999999999982, Avg: 66.5, Actor loss: -3.4352, Critic loss: 4.0227, Total loss: 0.5875
Episode 80/2000, Score: 100, Reward: 5.450000000000008, Avg: 64.5, Actor loss: -2.4181, Critic loss: 3.4978, Total loss: 1.0797
Episode 81/2000, Score: 70, Reward: 4.149999999999997, Avg: 66.0, Actor loss: -3.8629, Critic loss: 4.6798, Total loss: 0.8169
Episode 82/2000, Score: 100, Reward: 6.250000000000002, Avg: 65.5, Actor loss: -4.3952, Critic loss: 6.9132, Total loss: 2.5180
Episode 83/2000, Score: 200, Reward: 20.849999999999966, Avg: 70.5, Actor loss: -4.0919, Critic loss: 4.3141, Total loss: 0.2223
Episode 84/2000, Score: 70, Reward: 4.1999999999999975, Avg: 72.0, Actor loss: -7.3936, Critic loss: 10.0668, Total loss: 2.6732
Episode 85/2000, Score: 100, Reward: 8.149999999999991, Avg: 73.5, Actor loss: -4.1937, Critic loss: 4.6615, Total loss: 0.4677
Episode 86/2000, Score: 150, Reward: 12.849999999999977, Avg: 79.5, Actor loss: -5.5592, Critic loss: 8.7847, Total loss: 3.2255
Episode 87/2000, Score: 80, Reward: 2.9000000000000083, Avg: 82.0, Actor loss: 0.3518, Critic loss: 1.3345, Total loss: 1.6862
Episode 88/2000, Score: 40, Reward: -0.9499999999999993, Avg: 82.0, Actor loss: -3.3632, Critic loss: 3.5728, Total loss: 0.2097
Episode 89/2000, Score: 50, Reward: 2.000000000000001, Avg: 82.5, Actor loss: -1.2985, Critic loss: 1.7608, Total loss: 0.4623
Episode 90/2000, Score: 30, Reward: -2.45, Avg: 76.5, Actor loss: -4.6761, Critic loss: 6.1980, Total loss: 1.5219
Episode 91/2000, Score: 40, Reward: -0.75, Avg: 74.0, Actor loss: -3.5935, Critic loss: 3.8915, Total loss: 0.2980
Episode 92/2000, Score: 30, Reward: -1.3999999999999986, Avg: 70.0, Actor loss: -4.9779, Critic loss: 8.5916, Total loss: 3.6137
Episode 93/2000, Score: 160, Reward: 15.749999999999993, Avg: 76.5, Actor loss: -2.1186, Critic loss: 2.9909, Total loss: 0.8723
Episode 94/2000, Score: 140, Reward: 11.999999999999993, Avg: 82.0, Actor loss: -5.6422, Critic loss: 8.4162, Total loss: 2.7740
Episode 95/2000, Score: 100, Reward: 6.299999999999999, Avg: 83.5, Actor loss: -5.3121, Critic loss: 7.9085, Total loss: 2.5964
Episode 96/2000, Score: 130, Reward: 12.299999999999994, Avg: 88.0, Actor loss: -2.8083, Critic loss: 3.2888, Total loss: 0.4805
Episode 97/2000, Score: 40, Reward: 0.5000000000000009, Avg: 87.0, Actor loss: -2.7156, Critic loss: 2.5851, Total loss: -0.1305
Episode 98/2000, Score: 100, Reward: 6.549999999999999, Avg: 88.0, Actor loss: -2.1675, Critic loss: 3.1185, Total loss: 0.9510
Episode 99/2000, Score: 30, Reward: -2.5999999999999996, Avg: 88.0, Actor loss: -5.2896, Critic loss: 7.6730, Total loss: 2.3834
Episode 100/2000, Score: 150, Reward: 13.49999999999999, Avg: 90.5, Actor loss: -4.1032, Critic loss: 5.2861, Total loss: 1.1828
Episode 101/2000, Score: 70, Reward: 3.1000000000000014, Avg: 90.5, Actor loss: -3.2334, Critic loss: 5.0285, Total loss: 1.7951
Episode 102/2000, Score: 160, Reward: 15.299999999999986, Avg: 93.5, Actor loss: -3.7983, Critic loss: 5.2519, Total loss: 1.4535
Episode 103/2000, Score: 80, Reward: 5.1, Avg: 87.5, Actor loss: 0.9957, Critic loss: 4.0220, Total loss: 5.0177
Episode 104/2000, Score: 260, Reward: 28.69999999999996, Avg: 97.0, Actor loss: 0.4887, Critic loss: 2.7282, Total loss: 3.2169
Episode 105/2000, Score: 280, Reward: 31.799999999999976, Avg: 106.0, Actor loss: -1.7318, Critic loss: 3.9806, Total loss: 2.2488
Episode 106/2000, Score: 230, Reward: 25.349999999999987, Avg: 110.0, Actor loss: 1.3044, Critic loss: 9.5884, Total loss: 10.8929
Episode 107/2000, Score: 70, Reward: 4.099999999999994, Avg: 109.5, Actor loss: -6.0683, Critic loss: 9.6184, Total loss: 3.5501
Episode 108/2000, Score: 30, Reward: -2.3500000000000005, Avg: 109.0, Actor loss: -5.2892, Critic loss: 7.0790, Total loss: 1.7898
Episode 109/2000, Score: 110, Reward: 8.45, Avg: 112.0, Actor loss: 2.3687, Critic loss: 6.7029, Total loss: 9.0716
Episode 110/2000, Score: 100, Reward: 8.749999999999993, Avg: 115.5, Actor loss: -4.5593, Critic loss: 5.1449, Total loss: 0.5856
Episode 111/2000, Score: 70, Reward: 2.700000000000003, Avg: 117.0, Actor loss: -0.9420, Critic loss: 1.5319, Total loss: 0.5899
Episode 112/2000, Score: 170, Reward: 18.249999999999982, Avg: 124.0, Actor loss: -6.3122, Critic loss: 9.1094, Total loss: 2.7972
Episode 113/2000, Score: 30, Reward: -2.2499999999999996, Avg: 117.5, Actor loss: -5.1213, Critic loss: 10.5631, Total loss: 5.4418
Episode 114/2000, Score: 60, Reward: 1.2000000000000037, Avg: 113.5, Actor loss: -6.0745, Critic loss: 10.0954, Total loss: 4.0209
Episode 115/2000, Score: 140, Reward: 12.59999999999999, Avg: 115.5, Actor loss: -2.9390, Critic loss: 2.9831, Total loss: 0.0441
Episode 116/2000, Score: 40, Reward: -0.7000000000000002, Avg: 111.0, Actor loss: -3.7927, Critic loss: 5.7372, Total loss: 1.9445
Episode 117/2000, Score: 80, Reward: 4.949999999999999, Avg: 113.0, Actor loss: 0.8549, Critic loss: 5.7365, Total loss: 6.5914
Episode 118/2000, Score: 60, Reward: 1.3000000000000034, Avg: 111.0, Actor loss: -1.6384, Critic loss: 1.6885, Total loss: 0.0500
