episode,total_reward,steps,epsilon,won,progress_cells
782,-25.75,36,0.05,0,5
783,-17.07,48,0.05,0,7
784,-27.06,87,0.05,0,5
785,-31.05,66,0.05,0,4
786,-2.19,99,0.05,0,2
787,-2.84,104,0.05,0,2
788,10.35,185,0.05,0,5
789,-36.69,90,0.05,0,3
790,-23.5,91,0.05,0,6
791,-32.76,57,0.05,0,5
792,3.08,92,0.05,0,3
793,-35.54,75,0.05,0,4
794,-21.54,35,0.05,0,6
795,-41.4,21,0.05,0,3
796,-36.22,23,0.05,0,3
797,-8.02,82,0.05,0,2
798,-31.61,42,0.05,0,5
799,-30.05,6,0.05,0,5
800,6.43,97,0.05,0,4
801,10.5,110,0.05,0,5
802,-31.34,75,0.05,0,5
803,-30.06,7,0.05,0,4
804,-8.87,168,0.05,0,10
805,-12.25,46,0.05,0,8
806,-16.41,42,0.05,0,8
807,-9.92,73,0.05,0,9
808,3.17,64,0.05,0,12
809,-30.63,24,0.05,0,5
810,-15.31,32,0.05,0,8
811,-27.07,28,0.05,0,6
812,-29.09,90,0.05,0,5
813,-4.08,88,0.05,0,3
814,-3.84,84,0.05,0,3
815,-7.42,82,0.05,0,2
816,-1.87,107,0.05,0,3
817,-37.92,33,0.05,0,3
818,-2.24,84,0.05,0,3
819,-2.26,86,0.05,0,3
820,-4.07,87,0.05,0,3
821,-41.04,145,0.05,0,5
822,-38.84,105,0.05,0,4
823,-5.6,100,0.05,0,3
824,-3.04,84,0.05,0,3
825,-3.44,84,0.05,0,3
826,-50.5,151,0.05,0,3
827,-2.24,84,0.05,0,3
828,2.75,105,0.05,0,4
829,-41.38,39,0.05,0,3
830,-8.22,82,0.05,0,2
831,-8.42,82,0.05,0,2
832,-15.21,22,0.05,0,8
833,12.41,99,0.05,0,5
834,-20.37,18,0.05,0,6
835,-31.21,42,0.05,0,4
836,-8.42,82,0.05,0,2
837,-30.51,32,0.05,0,5
838,-31.78,79,0.05,0,5
839,-12.21,161,0.05,0,3
840,2.63,97,0.05,0,3
841,-2.83,83,0.05,0,3
842,-8.62,82,0.05,0,2
843,-8.62,82,0.05,0,2
844,-37.17,78,0.05,0,3
845,1.54,86,0.05,0,3
846,-8.62,82,0.05,0,2
847,2.61,99,0.05,0,3
848,2.42,98,0.05,0,3
849,-2.02,82,0.05,0,2
850,-8.42,82,0.05,0,2
851,4.55,185,0.05,0,4
852,-7.4,120,0.05,0,3
853,2.41,119,0.05,0,3
854,2.46,94,0.05,0,3
855,-8.62,82,0.05,0,2
856,-8.62,82,0.05,0,2
857,-8.62,82,0.05,0,2
858,-40.02,3,0.05,0,3
859,-8.82,82,0.05,0,2
860,-8.11,131,0.05,0,3
861,-7.68,128,0.05,0,3
862,-5.86,106,0.05,0,3
863,-48.18,79,0.05,0,3
864,-8.63,83,0.05,0,2
865,1.45,95,0.05,0,3
866,-21.27,48,0.05,0,6
867,-39.62,123,0.05,0,3
868,-8.62,82,0.05,0,2
869,-8.22,82,0.05,0,2
870,-8.62,82,0.05,0,2
871,2.09,111,0.05,0,3
872,-46.2,61,0.05,0,3
873,-8.42,82,0.05,0,2
874,-2.12,73,0.05,0,11
875,2.95,105,0.05,0,4
876,9.96,104,0.05,0,5
877,-2.44,84,0.05,0,3
878,-42.84,85,0.05,0,3
879,-8.42,82,0.05,0,2
880,-3.24,84,0.05,0,3
881,-3.12,92,0.05,0,3
882,-6.62,82,0.05,0,2
883,-35.03,64,0.05,0,4
884,-39.31,52,0.05,0,3
885,-6.83,83,0.05,0,2
886,-3.49,89,0.05,0,2
887,-11.6,80,0.05,0,0
888,-4.86,206,0.05,0,4
889,-10.32,73,0.05,0,9
890,-18.19,100,0.05,0,8
891,-20.32,13,0.05,0,6
892,-25.06,7,0.05,0,6
893,-30.06,7,0.05,0,5
894,11.21,119,0.05,0,6
895,-0.23,83,0.05,0,3
896,-8.05,125,0.05,0,3
897,-3.84,84,0.05,0,3
898,-4.09,89,0.05,0,3
899,-3.63,83,0.05,0,3
900,-10.89,149,0.05,0,3
901,3.12,88,0.05,0,3
902,-1.43,123,0.05,0,3
903,-3.63,83,0.05,0,3
904,-0.64,84,0.05,0,3
905,-8.82,82,0.05,0,2
906,-3.89,89,0.05,0,3
907,-6.82,82,0.05,0,2
908,-45.8,61,0.05,0,3
909,-6.03,123,0.05,0,3
910,-2.87,87,0.05,0,3
911,-40.05,6,0.05,0,3
912,-8.42,82,0.05,0,2
913,0.88,92,0.05,0,3
914,-8.42,82,0.05,0,2
915,-8.62,82,0.05,0,2
916,-22.8,41,0.05,0,6
917,-8.22,82,0.05,0,2
918,-4.09,89,0.05,0,3
919,-8.42,82,0.05,0,2
920,-8.02,82,0.05,0,2
921,-8.62,82,0.05,0,2
922,-23.39,60,0.05,0,6
923,-1.64,84,0.05,0,3
924,-42.05,26,0.05,0,3
925,-40.14,55,0.05,0,3
926,-4.94,114,0.05,0,3
927,-3.07,87,0.05,0,3
928,3.8,140,0.05,0,4
929,-1.69,89,0.05,0,3
930,-30.28,9,0.05,0,5
931,-6.42,82,0.05,0,2
932,-36.38,79,0.05,0,4
933,-25.17,18,0.05,0,6
934,-33.7,51,0.05,0,4
935,-2.83,83,0.05,0,3
936,-3.23,83,0.05,0,3
937,-2.06,86,0.05,0,3
938,-40.91,12,0.05,0,3
939,-31.86,47,0.05,0,4
940,3.32,88,0.05,0,3
941,-1.16,96,0.05,0,3
942,-28.09,90,0.05,0,5
943,-40.75,36,0.05,0,3
944,-23.53,74,0.05,0,7
945,-19.43,64,0.05,0,7
946,2.07,133,0.05,0,3
947,-26.55,76,0.05,0,6
948,-30.86,27,0.05,0,5
949,-2.25,126,0.05,0,10
950,3.42,59,0.05,0,12
951,-40.02,3,0.05,0,3
952,-30.57,18,0.05,0,5
953,-35.06,7,0.05,0,3
954,3.96,84,0.05,0,4
955,-2.39,99,0.05,0,3
956,-3.08,88,0.05,0,3
957,-8.62,82,0.05,0,2
958,-6.42,162,0.05,0,4
959,36.2,140,0.05,0,10
960,-41.56,17,0.05,0,3
961,-25.14,15,0.05,0,6
962,-30.19,20,0.05,0,5
963,-7.03,83,0.05,0,2
964,-31.6,61,0.05,0,4
965,-20.84,25,0.05,0,6
966,10.1,90,0.05,0,5
967,-30.75,16,0.05,0,4
968,-32.27,28,0.05,0,4
969,-7.62,82,0.05,0,2
970,-30.48,29,0.05,0,4
971,-21.87,28,0.05,0,7
972,-8.22,82,0.05,0,2
973,-8.22,82,0.05,0,2
974,-8.62,82,0.05,0,2
975,-30.5,11,0.05,0,5
976,-31.85,26,0.05,0,5
977,-25.79,20,0.05,0,5
978,1.14,86,0.05,0,4
979,-8.63,83,0.05,0,2
980,20.46,135,0.05,0,15
981,-35.85,86,0.05,0,4
982,-8.02,82,0.05,0,2
983,-8.62,82,0.05,0,2
984,-7.62,82,0.05,0,2
985,-5.22,82,0.05,0,2
986,-41.41,22,0.05,0,3
987,-8.42,82,0.05,0,2
988,-6.91,111,0.05,0,3
989,-8.83,83,0.05,0,2
990,-8.62,82,0.05,0,2
991,-41.24,65,0.05,0,3
992,-8.62,82,0.05,0,2
993,1.72,88,0.05,0,4
994,-8.42,82,0.05,0,2
995,-8.62,82,0.05,0,2
996,-5.13,93,0.05,0,3
997,-8.22,82,0.05,0,2
998,-28.92,73,0.05,0,6
999,-8.62,82,0.05,0,2
1000,-8.42,82,0.05,0,2
1001,-8.43,83,0.05,0,2
1002,-1.61,121,0.05,0,4
1003,-3.83,83,0.05,0,3
1004,-3.73,93,0.05,0,3
1005,-10.94,154,0.05,0,3
1006,-43.61,82,0.05,0,3
1007,-39.75,56,0.05,0,3
1008,-31.19,20,0.05,0,4
1009,-3.83,83,0.05,0,3
1010,-3.25,85,0.05,0,3
1011,-8.42,82,0.05,0,2
1012,-3.88,88,0.05,0,3
1013,-2.91,91,0.05,0,3
1014,-3.95,95,0.05,0,3
1015,-40.02,63,0.05,0,3
1016,-3.64,84,0.05,0,3
1017,-3.44,84,0.05,0,3
1018,-39.93,54,0.05,0,3
1019,-2.73,113,0.05,0,3
1020,-8.22,82,0.05,0,2
1021,-8.22,82,0.05,0,2
1022,-42.23,24,0.05,0,3
1023,-4.3,90,0.05,0,3
1024,-30.65,26,0.05,0,5
1025,-4.54,94,0.05,0,3
1026,-3.3,90,0.05,0,3
1027,-11.25,26,0.05,0,8
1028,-7.82,82,0.05,0,2
1029,-7.41,121,0.05,0,3
1030,4.97,103,0.05,0,5
1031,-4.56,96,0.05,0,3
1032,-7.3,130,0.05,0,3
1033,-3.64,84,0.05,0,3
1034,-10.62,162,0.05,0,3
1035,-8.42,82,0.05,0,2
1036,-38.63,104,0.05,0,4
1037,-6.96,136,0.05,0,3
1038,-5.82,82,0.05,0,2
1039,-41.53,114,0.05,0,4
1040,-8.42,82,0.05,0,2
1041,-7.2,120,0.05,0,3
1042,-6.73,113,0.05,0,3
1043,-3.9,130,0.05,0,3
1044,-8.43,83,0.05,0,2
1045,-3.99,139,0.05,0,3
1046,0.45,115,0.05,0,4
1047,-20.44,185,0.05,0,8
1048,1.83,137,0.05,0,4
1049,-3.47,167,0.05,0,4
1050,-2.5,90,0.05,0,3
1051,-7.22,82,0.05,0,2
1052,-4.82,82,0.05,0,2
1053,0.07,153,0.05,0,4
1054,-3.46,106,0.05,0,3
1055,-4.76,136,0.05,0,3
1056,-6.31,91,0.05,0,2
1057,-31.91,52,0.05,0,4
1058,-5.22,82,0.05,0,2
1059,-16.44,105,0.05,0,8
1060,4.3,90,0.05,0,4
1061,-40.04,5,0.05,0,3
1062,-22.69,110,0.05,0,8
1063,-25.76,37,0.05,0,6
1064,-1.8,61,0.05,0,10
1065,-30.29,10,0.05,0,4
1066,-25.06,7,0.05,0,5
1067,-5.63,24,0.05,0,10
1068,6.29,72,0.05,0,12
1069,-30.56,57,0.05,0,5
1070,-30.35,16,0.05,0,4
1071,-3.07,68,0.05,0,10
1072,-45.84,65,0.05,0,3
1073,-10.16,17,0.05,0,8
1074,-5.38,19,0.05,0,9
1075,-48.18,79,0.05,0,3
1076,3.92,29,0.05,0,12
1077,-7.82,82,0.05,0,2
1078,-18.51,52,0.05,0,7
1079,3.58,43,0.05,0,11
1080,10.85,115,0.05,0,6
1081,-39.22,43,0.05,0,3
1082,-8.22,82,0.05,0,2
1083,-8.42,82,0.05,0,2
1084,2.75,85,0.05,0,4
1085,-42.2,81,0.05,0,3
1086,-5.54,114,0.05,0,3
1087,-38.87,108,0.05,0,4
1088,-48.9,151,0.05,0,3
1089,-7.62,82,0.05,0,2
1090,-5.23,103,0.05,0,3
1091,-35.67,148,0.05,0,5
1092,-2.87,87,0.05,0,3
1093,-3.06,86,0.05,0,3
1094,-3.83,83,0.05,0,3
1095,-7.82,82,0.05,0,2
1096,-3.74,94,0.05,0,3
1097,-3.49,89,0.05,0,3
1098,-3.48,88,0.05,0,3
1099,-7.82,82,0.05,0,2
1100,-40.24,5,0.05,0,3
1101,-6.21,121,0.05,0,3
1102,-8.83,83,0.05,0,2
1103,-48.95,136,0.05,0,3
1104,-3.76,96,0.05,0,3
1105,-8.23,83,0.05,0,2
1106,2.53,107,0.05,0,4
1107,-8.22,82,0.05,0,2
1108,-3.74,114,0.05,0,3
1109,-8.82,82,0.05,0,2
1110,-8.22,82,0.05,0,2
1111,-8.62,82,0.05,0,2
1112,-7.62,82,0.05,0,2
1113,-8.22,82,0.05,0,2
1114,-8.24,84,0.05,0,2
1115,-3.88,88,0.05,0,3
1116,1.95,105,0.05,0,3
1117,-37.7,31,0.05,0,3
1118,2.38,102,0.05,0,3
1119,1.84,96,0.05,0,3
1120,1.28,112,0.05,0,3
1121,2.54,86,0.05,0,3
1122,-28.44,125,0.05,0,5
1123,-41.35,16,0.05,0,3
1124,-11.11,151,0.05,0,3
1125,-4.03,83,0.05,0,3
1126,-8.82,82,0.05,0,2
1127,-7.82,82,0.05,0,2
1128,1.37,103,0.05,0,3
1129,5.96,144,0.05,0,4
1130,-2.22,82,0.05,0,2
1131,1.89,111,0.05,0,3
1132,-8.22,82,0.05,0,2
1133,-8.06,126,0.05,0,3
1134,1.46,114,0.05,0,3
1135,1.86,114,0.05,0,3
1136,11.93,87,0.05,0,5
1137,-7.37,117,0.05,0,3
1138,-2.42,82,0.05,0,2
1139,1.85,115,0.05,0,3
1140,-41.13,14,0.05,0,3
1141,2.3,90,0.05,0,3
1142,-2.82,82,0.05,0,2
1143,-0.4,100,0.05,0,3
1144,-40.46,7,0.05,0,3
1145,-2.29,89,0.05,0,3
1146,-8.54,134,0.05,0,3
1147,-4.15,95,0.05,0,3
1148,-8.02,82,0.05,0,2
1149,-42.31,72,0.05,0,3
1150,-40.46,7,0.05,0,3
1151,-8.82,82,0.05,0,2
1152,-6.94,114,0.05,0,3
1153,0.83,97,0.05,0,3
1154,1.9,110,0.05,0,3
1155,-1.48,88,0.05,0,3
1156,-7.42,122,0.05,0,3
1157,-5.22,82,0.05,0,2
1158,-1.87,87,0.05,0,3
1159,-1.23,83,0.05,0,3
1160,-2.06,126,0.05,0,3
1161,0.61,119,0.05,0,3
1162,-3.02,82,0.05,0,2
1163,-0.51,151,0.05,0,4
1164,-37.33,34,0.05,0,3
1165,-3.88,88,0.05,0,3
1166,-41.27,68,0.05,0,3
1167,-8.02,82,0.05,0,2
1168,-2.84,84,0.05,0,3
1169,-4.11,151,0.05,0,4
1170,-40.02,3,0.05,0,3
1171,-6.42,82,0.05,0,2
1172,-0.6,120,0.05,0,3
1173,-33.39,60,0.05,0,4
1174,-9.24,125,0.05,0,9
1175,-2.23,183,0.05,0,4
1176,-1.41,141,0.05,0,4
1177,-17.4,41,0.05,0,7
1178,4.04,176,0.05,0,5
1179,-12.26,127,0.05,0,9
1180,-45.67,68,0.05,0,3
1181,2.1,90,0.05,0,4
1182,-43.92,53,0.05,0,3
1183,-46.89,130,0.05,0,3
1184,-0.79,99,0.05,0,3
1185,-27.53,74,0.05,0,6
1186,-0.49,169,0.05,0,3
1187,0.54,146,0.05,0,3
1188,0.36,144,0.05,0,3
1189,-42.04,105,0.05,0,3
1190,11.6,120,0.05,0,5
1191,-0.33,173,0.05,0,3
1192,-46.18,99,0.05,0,3
1193,-39.23,64,0.05,0,3
1194,-34.93,94,0.05,0,4
1195,-40.89,70,0.05,0,3
1196,-0.61,121,0.05,0,3
1197,-3.47,127,0.05,0,3
1198,-1.67,127,0.05,0,3
1199,-3.63,123,0.05,0,3
1200,-3.26,126,0.05,0,2
1201,-40.26,107,0.05,0,3
1202,-2.03,103,0.05,0,2
1203,3.18,202,0.05,0,4
1204,-0.92,152,0.05,0,3
1205,-0.49,169,0.05,0,3
1206,-3.54,154,0.05,0,2
1207,0.42,118,0.05,0,3
1208,-4.22,142,0.05,0,3
1209,0.01,179,0.05,0,4
1210,6.62,238,0.05,0,5
1211,-20.98,99,0.05,0,7
1212,-40.75,16,0.05,0,3
1213,-8.22,82,0.05,0,2
1214,-7.44,164,0.05,0,3
1215,-6.13,153,0.05,0,3
1216,3.62,118,0.05,0,5
1217,-46.56,137,0.05,0,3
1218,-4.82,82,0.05,0,2
1219,-6.07,87,0.05,0,2
1220,-4.91,91,0.05,0,2
1221,-2.43,83,0.05,0,3
1222,-40.87,48,0.05,0,3
1223,-5.36,96,0.05,0,3
1224,-0.43,83,0.05,0,3
1225,-0.33,133,0.05,0,4
1226,-32.12,33,0.05,0,4
1227,-2.38,138,0.05,0,4
1228,-4.02,82,0.05,0,2
1229,-40.07,8,0.05,0,3
1230,-36.83,24,0.05,0,3
1231,-6.43,83,0.05,0,2
1232,-1.87,87,0.05,0,3
1233,-7.97,137,0.05,0,3
1234,-2.32,132,0.05,0,4
1235,2.53,87,0.05,0,4
1236,-3.67,87,0.05,0,3
1237,-8.82,82,0.05,0,2
1238,-8.62,82,0.05,0,2
1239,-32.5,51,0.05,0,5
1240,-30.91,32,0.05,0,5
1241,-45.42,63,0.05,0,3
1242,-8.82,82,0.05,0,2
1243,-42.55,36,0.05,0,3
1244,-0.23,83,0.05,0,3
1245,-30.57,18,0.05,0,5
1246,2.46,114,0.05,0,4
1247,-5.62,82,0.05,0,2
1248,4.3,90,0.05,0,4
1249,-35.05,6,0.05,0,3
1250,-3.22,82,0.05,0,2
1251,-36.53,54,0.05,0,3
1252,-40.23,24,0.05,0,3
1253,-41.06,67,0.05,0,3
1254,-40.09,10,0.05,0,3
1255,-35.84,85,0.05,0,4
1256,-26.94,55,0.05,0,5
1257,-31.0,21,0.05,0,5
1258,-14.57,78,0.05,0,8
1259,7.24,96,0.05,0,4
1260,-22.27,28,0.05,0,6
1261,6.65,95,0.05,0,4
1262,2.7,90,0.05,0,4
1263,-33.91,52,0.05,0,4
1264,-10.79,20,0.05,0,8
1265,5.73,127,0.05,0,5
1266,-12.17,58,0.05,0,8
1267,-31.31,52,0.05,0,5
1268,-25.97,38,0.05,0,6
1269,8.49,131,0.05,0,5
1270,-22.47,48,0.05,0,7
1271,-27.7,51,0.05,0,5
1272,-36.55,76,0.05,0,4
1273,-15.45,26,0.05,0,7
1274,4.02,138,0.05,0,4
1275,3.21,60,0.05,0,12
1276,-40.37,38,0.05,0,3
1277,-32.02,83,0.05,0,5
1278,-33.16,77,0.05,0,5
1279,-21.88,29,0.05,0,7
1280,-35.42,63,0.05,0,5
1281,-18.65,66,0.05,0,8
1282,-30.29,10,0.05,0,4
1283,-12.91,52,0.05,0,8
1284,6.34,106,0.05,0,5
1285,-18.18,79,0.05,0,7
1286,-16.0,21,0.05,0,7
1287,-40.15,16,0.05,0,3
1288,-9.03,64,0.05,0,9
1289,-40.02,3,0.05,0,3
1290,-35.36,37,0.05,0,3
1291,-16.42,103,0.05,0,8
1292,-15.46,47,0.05,0,7
1293,-40.03,4,0.05,0,3
1294,-32.7,31,0.05,0,4
1295,-25.3,11,0.05,0,5
1296,-40.26,27,0.05,0,3
1297,-21.69,30,0.05,0,6
1298,-26.7,31,0.05,0,5
1299,3.34,86,0.05,0,4
1300,-20.94,75,0.05,0,8
1301,-40.55,36,0.05,0,3
1302,-15.13,14,0.05,0,7
1303,-20.7,51,0.05,0,6
1304,-31.56,77,0.05,0,6
1305,7.49,111,0.05,0,5
1306,-36.33,74,0.05,0,3
1307,-2.83,83,0.05,0,3
1308,-35.49,10,0.05,0,3
1309,-2.64,84,0.05,0,3
1310,-35.36,57,0.05,0,4
1311,-34.65,106,0.05,0,5
1312,-2.65,85,0.05,0,3
1313,-40.1,11,0.05,0,3
1314,2.93,107,0.05,0,3
1315,1.27,93,0.05,0,4
1316,-39.57,98,0.05,0,4
1317,8.0,100,0.05,0,4
1318,-3.62,142,0.05,0,4
1319,-35.5,31,0.05,0,3
1320,-36.37,18,0.05,0,3
1321,-32.78,99,0.05,0,4
1322,3.12,88,0.05,0,3
1323,-40.02,3,0.05,0,3
1324,-36.8,61,0.05,0,3
1325,-4.58,98,0.05,0,3
1326,-8.02,82,0.05,0,2
1327,2.95,105,0.05,0,3
1328,6.89,111,0.05,0,4
1329,-16.15,56,0.05,0,8
1330,-36.0,41,0.05,0,3
1331,-40.24,25,0.05,0,3
1332,3.03,97,0.05,0,3
1333,-40.09,10,0.05,0,3
1334,-2.43,83,0.05,0,3
1335,-2.63,83,0.05,0,3
1336,2.34,86,0.05,0,3
1337,-47.37,78,0.05,0,3
1338,-39.51,112,0.05,0,5
1339,-40.07,8,0.05,0,3
1340,-5.52,112,0.05,0,3
1341,-40.32,13,0.05,0,3
1342,9.6,100,0.05,0,5
1343,3.12,88,0.05,0,4
1344,-37.88,109,0.05,0,3
1345,2.94,86,0.05,0,3
1346,-2.63,83,0.05,0,3
1347,-39.09,50,0.05,0,3
1348,2.33,87,0.05,0,4
1349,-2.63,83,0.05,0,3
1350,-3.23,83,0.05,0,3
1351,-2.83,83,0.05,0,3
1352,-35.89,30,0.05,0,3
1353,-2.63,83,0.05,0,3
1354,-3.03,83,0.05,0,3
1355,-36.27,128,0.05,0,5
1356,21.45,115,0.05,0,7
1357,-25.47,28,0.05,0,5
1358,-32.86,87,0.05,0,5
1359,-30.28,9,0.05,0,4
1360,4.34,106,0.05,0,4
1361,-36.44,65,0.05,0,3
1362,-2.83,83,0.05,0,3
1363,-36.35,76,0.05,0,3
1364,7.22,138,0.05,0,4
1365,-40.48,29,0.05,0,3
1366,-35.98,39,0.05,0,3
1367,-2.03,83,0.05,0,3
1368,-32.7,31,0.05,0,4
1369,-1.42,82,0.05,0,2
1370,-1.82,82,0.05,0,2
1371,-40.04,5,0.05,0,3
1372,-7.82,82,0.05,0,2
1373,-41.35,76,0.05,0,3
1374,-2.83,83,0.05,0,3
1375,-39.95,56,0.05,0,3
1376,-41.5,71,0.05,0,3
1377,-25.6,41,0.05,0,6
1378,-40.59,40,0.05,0,3
1379,-40.15,16,0.05,0,3
1380,-38.12,33,0.05,0,3
1381,-38.19,120,0.05,0,3
1382,-2.83,83,0.05,0,3
1383,-6.82,82,0.05,0,2
1384,-8.02,82,0.05,0,2
1385,-3.23,83,0.05,0,3
1386,-40.02,3,0.05,0,3
1387,-2.63,83,0.05,0,3
1388,-40.51,12,0.05,0,3
1389,-3.03,83,0.05,0,3
1390,-8.22,82,0.05,0,2
1391,-6.82,82,0.05,0,2
1392,-8.22,82,0.05,0,2
1393,-44.95,56,0.05,0,3
1394,-7.82,82,0.05,0,2
1395,-7.82,82,0.05,0,2
1396,-40.02,3,0.05,0,3
1397,-7.42,82,0.05,0,2
1398,-37.02,83,0.05,0,4
1399,-6.02,82,0.05,0,2
1400,-3.03,83,0.05,0,3
1401,2.53,87,0.05,0,4
1402,-12.6,80,0.05,0,0
1403,-2.03,103,0.05,0,3
1404,-43.23,124,0.05,0,3
1405,-41.62,83,0.05,0,3
1406,-3.03,83,0.05,0,3
1407,-44.7,51,0.05,0,3
1408,-8.02,82,0.05,0,2
1409,-39.74,55,0.05,0,3
1410,-8.22,82,0.05,0,2
1411,-5.82,82,0.05,0,2
1412,-2.02,82,0.05,0,2
1413,0.03,217,0.05,0,3
1414,-6.02,82,0.05,0,2
1415,-1.65,165,0.05,0,4
1416,-31.93,134,0.05,0,7
1417,-30.82,123,0.05,0,6
1418,-8.83,83,0.05,0,2
1419,-8.02,82,0.05,0,2
1420,-41.41,42,0.05,0,3
1421,-4.22,82,0.05,0,2
1422,-33.87,48,0.05,0,5
1423,-4.02,82,0.05,0,2
1424,-5.68,88,0.05,0,2
1425,-0.3,90,0.05,0,3
1426,-7.42,82,0.05,0,2
1427,-3.68,88,0.05,0,3
1428,-2.48,148,0.05,0,4
1429,-5.0,121,0.05,0,11
1430,5.04,117,0.05,0,13
1431,-36.22,63,0.05,0,4
1432,-8.02,82,0.05,0,2
1433,-21.95,36,0.05,0,6
1434,-28.9,91,0.05,0,6
1435,2.12,88,0.05,0,4
1436,-46.93,74,0.05,0,3
1437,-17.56,37,0.05,0,7
1438,-7.82,82,0.05,0,2
1439,-8.62,82,0.05,0,2
1440,-43.12,33,0.05,0,3
1441,-41.52,73,0.05,0,3
1442,-8.82,82,0.05,0,2
1443,-20.06,7,0.05,0,7
1444,-7.42,82,0.05,0,2
1445,-8.22,82,0.05,0,2
1446,-8.82,82,0.05,0,2
1447,-12.83,44,0.05,0,8
1448,-23.39,40,0.05,0,6
1449,-9.91,72,0.05,0,9
1450,-2.71,231,0.05,0,6
1451,-8.42,82,0.05,0,2
1452,-40.59,60,0.05,0,3
1453,-5.62,102,0.05,0,3
1454,-8.62,82,0.05,0,2
1455,-4.62,102,0.05,0,3
1456,-8.02,82,0.05,0,2
1457,-3.83,83,0.05,0,3
1458,-0.21,101,0.05,0,4
1459,-8.62,82,0.05,0,2
1460,-3.83,83,0.05,0,3
1461,-38.91,92,0.05,0,4
1462,-18.72,73,0.05,0,7
1463,-11.36,156,0.05,0,3
1464,-40.25,6,0.05,0,3
1465,-42.02,23,0.05,0,3
1466,-5.44,104,0.05,0,3
1467,0.93,87,0.05,0,4
1468,-8.81,141,0.05,0,3
1469,13.22,119,0.05,0,14
1470,-3.66,86,0.05,0,3
1471,-8.22,82,0.05,0,2
1472,-6.96,116,0.05,0,3
1473,-4.78,98,0.05,0,3
1474,-44.69,50,0.05,0,3
1475,-42.6,81,0.05,0,3
1476,-43.88,89,0.05,0,3
1477,-3.71,91,0.05,0,3
1478,-7.62,82,0.05,0,2
1479,-7.82,82,0.05,0,2
1480,1.1,111,0.05,0,12
1481,-46.75,76,0.05,0,3
1482,-1.99,119,0.05,0,4
1483,-8.82,82,0.05,0,2
1484,-8.62,82,0.05,0,2
1485,-3.88,88,0.05,0,3
1486,-7.83,83,0.05,0,2
1487,-8.62,82,0.05,0,2
1488,-7.69,129,0.05,0,3
1489,-8.65,85,0.05,0,2
1490,-41.67,88,0.05,0,3
1491,-8.69,129,0.05,0,3
1492,-3.64,144,0.05,0,4
1493,-37.25,26,0.05,0,3
1494,-8.51,151,0.05,0,3
1495,-7.62,82,0.05,0,2
1496,-8.62,82,0.05,0,2
1497,-2.53,133,0.05,0,4
1498,-9.21,101,0.05,0,2
1499,-7.42,82,0.05,0,2
1500,-7.82,82,0.05,0,2
1501,-48.38,79,0.05,0,3
1502,-46.23,64,0.05,0,3
1503,-42.76,77,0.05,0,3
1504,-8.02,82,0.05,0,2
1505,-7.82,82,0.05,0,2
1506,-4.53,93,0.05,0,3
1507,-43.79,40,0.05,0,3
1508,-42.26,27,0.05,0,3
1509,-3.9,90,0.05,0,3
1510,-3.71,91,0.05,0,3
1511,-7.82,82,0.05,0,2
1512,-40.24,5,0.05,0,3
1513,-8.42,82,0.05,0,2
1514,-40.1,51,0.05,0,3
1515,-5.82,102,0.05,0,3
1516,-6.51,111,0.05,0,3
1517,-3.23,83,0.05,0,3
1518,-8.02,82,0.05,0,2
1519,-5.4,100,0.05,0,3
1520,-41.59,20,0.05,0,3
1521,-6.19,139,0.05,0,3
1522,-5.29,89,0.05,0,2
1523,-3.27,87,0.05,0,3
1524,-22.49,30,0.05,0,6
1525,-19.86,67,0.05,0,7
1526,-34.94,55,0.05,0,4
1527,-17.91,92,0.05,0,7
1528,-2.64,84,0.05,0,3
1529,-8.86,146,0.05,0,3
1530,-26.65,106,0.05,0,7
1531,-38.03,144,0.05,0,5
1532,-40.04,5,0.05,0,3
1533,-7.82,82,0.05,0,2
1534,-44.04,45,0.05,0,3
1535,-7.82,82,0.05,0,2
1536,-32.33,54,0.05,0,4
1537,2.72,108,0.05,0,3
1538,-6.82,82,0.05,0,2
1539,2.57,83,0.05,0,3
1540,-3.02,82,0.05,0,2
1541,-1.42,82,0.05,0,2
1542,-22.89,50,0.05,0,6
1543,-32.95,76,0.05,0,4
1544,-1.65,85,0.05,0,3
1545,-30.94,15,0.05,0,4
1546,-40.03,4,0.05,0,3
1547,-17.15,36,0.05,0,7
1548,-40.24,5,0.05,0,3
1549,-7.23,83,0.05,0,2
1550,1.05,115,0.05,0,3
1551,-3.42,82,0.05,0,2
1552,-20.28,9,0.05,0,7
1553,-6.62,82,0.05,0,2
1554,-8.62,82,0.05,0,2
1555,-29.36,97,0.05,0,6
1556,-40.52,13,0.05,0,3
1557,-8.82,82,0.05,0,2
1558,-19.56,77,0.05,0,7
1559,0.04,156,0.05,0,4
1560,-6.02,82,0.05,0,2
1561,-8.62,82,0.05,0,2
1562,-7.84,124,0.05,0,3
1563,5.04,96,0.05,0,5
1564,-40.07,108,0.05,0,5
1565,-3.71,151,0.05,0,4
1566,-6.2,160,0.05,0,4
1567,-8.22,82,0.05,0,2
1568,-8.02,82,0.05,0,2
1569,-8.82,82,0.05,0,2
1570,-24.53,134,0.05,0,7
1571,-30.43,64,0.05,0,5
1572,-31.13,74,0.05,0,6
1573,-4.14,134,0.05,0,4
1574,-4.11,91,0.05,0,3
1575,-8.62,82,0.05,0,2
