episode,total_reward,steps,epsilon,won,progress_cells
178,-40.32,13,0.1631,0,3
179,-32.1,31,0.1623,0,4
180,0.83,117,0.1614,0,4
181,-2.9,150,0.1606,0,4
182,-7.91,132,0.1598,0,10
183,-28.47,68,0.159,0,6
184,3.15,85,0.1582,0,4
185,-32.08,29,0.1575,0,4
186,3.58,102,0.1567,0,4
187,-29.38,59,0.1559,0,5
188,4.65,135,0.1551,0,5
189,-34.5,111,0.1543,0,5
190,5.09,91,0.1536,0,4
191,-35.6,81,0.1528,0,4
192,-41.14,15,0.152,0,3
193,-6.79,119,0.1513,0,3
194,-35.29,70,0.1505,0,4
195,6.4,100,0.1498,0,5
196,-29.66,147,0.149,0,5
197,-32.37,78,0.1483,0,4
198,-4.77,97,0.1475,0,3
199,-8.22,82,0.1468,0,2
200,-32.54,95,0.146,0,4
201,-41.23,44,0.1453,0,3
202,-21.95,76,0.1446,0,6
203,-40.02,3,0.1439,0,3
204,-0.65,85,0.1432,0,3
205,-0.88,88,0.1424,0,3
206,-4.25,85,0.1417,0,2
207,-35.32,53,0.141,0,4
208,-8.22,82,0.1403,0,2
209,-1.51,91,0.1396,0,3
210,-3.15,115,0.1389,0,3
211,-36.62,23,0.1382,0,3
212,-32.14,35,0.1375,0,5
213,-20.5,11,0.1368,0,6
214,-30.08,9,0.1362,0,4
215,-40.27,128,0.1355,0,4
216,-42.68,129,0.1348,0,3
217,-30.21,22,0.1341,0,5
218,-40.17,18,0.1334,0,3
219,-6.14,94,0.1328,0,2
220,-5.54,114,0.1321,0,2
221,-7.23,143,0.1315,0,2
222,9.68,113,0.1308,0,13
223,-40.15,16,0.1301,0,3
224,-40.55,36,0.1295,0,3
225,-25.39,20,0.1288,0,5
226,13.04,116,0.1282,0,6
227,-6.82,82,0.1276,0,1
228,-25.31,32,0.1269,0,5
229,-29.73,54,0.1263,0,5
230,-30.51,12,0.1257,0,4
231,3.8,120,0.125,0,4
232,-29.1,51,0.1244,0,6
233,-30.76,17,0.1238,0,5
234,-21.87,28,0.1232,0,6
235,-5.82,82,0.1225,0,2
