[SAVE] New best avg score: 100.00
Episode 44/50000, Score: 80, Reward: 17.50000000000001, Avg: 41.666666666666664, Actor loss: -15.3611, Critic loss: 126.5387, Total loss: 47.9082
Episode 45/50000, Score: 50, Reward: -7.0000000000000036, Avg: 42.5, Actor loss: -13.6322, Critic loss: 116.4466, Total loss: 44.5911
Episode 46/50000, Score: 30, Reward: -0.8000000000000007, Avg: 42.5, Actor loss: -4.7026, Critic loss: 23.3877, Total loss: 6.9912
Episode 47/50000, Score: 60, Reward: 12.200000000000006, Avg: 45.0, Actor loss: 1.7746, Critic loss: 80.7536, Total loss: 42.1514
Episode 48/50000, Score: 30, Reward: -6.899999999999996, Avg: 45.0, Actor loss: -9.1321, Critic loss: 51.0969, Total loss: 16.4163
Episode 49/50000, Score: 70, Reward: -48.80000000000001, Avg: 45.0, Actor loss: -15.2353, Critic loss: 130.7290, Total loss: 50.1292
Episode 50/50000, Score: 70, Reward: -7.499999999999997, Avg: 48.333333333333336, Actor loss: -5.1974, Critic loss: 48.3448, Total loss: 18.9751
Episode 51/50000, Score: 30, Reward: 0.5, Avg: 48.333333333333336, Actor loss: -0.1447, Critic loss: 10.2585, Total loss: 4.9846
Episode 52/50000, Score: 50, Reward: -18.69999999999999, Avg: 48.333333333333336, Actor loss: -2.8691, Critic loss: 14.1285, Total loss: 4.1951
Episode 53/50000, Score: 30, Reward: -18.9, Avg: 46.666666666666664, Actor loss: -14.6028, Critic loss: 124.5715, Total loss: 47.6830
Episode 54/50000, Score: 60, Reward: -27.699999999999967, Avg: 49.166666666666664, Actor loss: -11.0950, Critic loss: 72.4384, Total loss: 25.1242
Episode 55/50000, Score: 60, Reward: -10.899999999999988, Avg: 51.666666666666664, Actor loss: -16.9157, Critic loss: 139.9429, Total loss: 53.0557
Episode 56/50000, Score: 60, Reward: 13.90000000000001, Avg: 50.0, Actor loss: 2.5801, Critic loss: 149.1382, Total loss: 77.1492
Episode 57/50000, Score: 40, Reward: -19.0, Avg: 49.166666666666664, Actor loss: -13.6226, Critic loss: 91.5601, Total loss: 32.1575
Episode 58/50000, Score: 30, Reward: 1.3000000000000007, Avg: 49.166666666666664, Actor loss: -3.1505, Critic loss: 16.1753, Total loss: 4.9372
Episode 59/50000, Score: 50, Reward: 9.500000000000004, Avg: 48.333333333333336, Actor loss: 4.8483, Critic loss: 100.1119, Total loss: 54.9043
Episode 60/50000, Score: 30, Reward: -0.5999999999999996, Avg: 48.333333333333336, Actor loss: -3.5031, Critic loss: 20.9488, Total loss: 6.9713
Episode 61/50000, Score: 80, Reward: 19.700000000000003, Avg: 49.166666666666664, Actor loss: 16.4844, Critic loss: 275.7919, Total loss: 154.3803
Episode 62/50000, Score: 60, Reward: 13.400000000000002, Avg: 48.333333333333336, Actor loss: 3.8652, Critic loss: 74.8378, Total loss: 41.2841
Episode 63/50000, Score: 30, Reward: -0.8000000000000007, Avg: 48.333333333333336, Actor loss: -3.3471, Critic loss: 16.0162, Total loss: 4.6610
Episode 64/50000, Score: 50, Reward: 1.8000000000000007, Avg: 48.333333333333336, Actor loss: 1.8182, Critic loss: 30.1298, Total loss: 16.8831
Episode 65/50000, Score: 30, Reward: 4.399999999999999, Avg: 48.333333333333336, Actor loss: -0.7146, Critic loss: 30.0819, Total loss: 14.3264
Episode 66/50000, Score: 40, Reward: -1.4999999999999964, Avg: 46.666666666666664, Actor loss: -11.4248, Critic loss: 54.8324, Total loss: 15.9914
Episode 67/50000, Score: 30, Reward: -5.300000000000001, Avg: 44.166666666666664, Actor loss: -5.9694, Critic loss: 27.6485, Total loss: 7.8548
Episode 68/50000, Score: 50, Reward: 7.800000000000004, Avg: 43.333333333333336, Actor loss: 1.1241, Critic loss: 35.2307, Total loss: 18.7394
Episode 69/50000, Score: 30, Reward: -1.7999999999999972, Avg: 42.5, Actor loss: -5.0135, Critic loss: 20.1729, Total loss: 5.0730
Episode 70/50000, Score: 50, Reward: -0.6999999999999993, Avg: 44.166666666666664, Actor loss: -1.4921, Critic loss: 28.5595, Total loss: 12.7877
Episode 71/50000, Score: 50, Reward: -6.099999999999995, Avg: 44.166666666666664, Actor loss: -18.7800, Critic loss: 246.1060, Total loss: 104.2730
Episode 72/50000, Score: 30, Reward: -10.700000000000003, Avg: 44.166666666666664, Actor loss: -14.2346, Critic loss: 90.2288, Total loss: 30.8798
Episode 73/50000, Score: 30, Reward: -4.300000000000002, Avg: 40.0, Actor loss: -7.3418, Critic loss: 33.1878, Total loss: 9.2521
