Episode 142/2500 - Reward: 23.95 | Score: 80 | Avg: 83.5
Episode 143/2500 - Reward: 19.00 | Score: 70 | Avg: 83.9
Episode 145/2500 - Reward: 24.00 | Score: 80 | Avg: 79.7
Episode 146/2500 - Reward: 14.15 | Score: 60 | Avg: 79.6
Episode 147/2500 - Reward: 19.05 | Score: 70 | Avg: 79.2
Episode 150/2500 - Reward: 43.85 | Score: 120 | Avg: 76.4
Episode 151/2500 - Reward: 23.90 | Score: 80 | Avg: 76.8
Episode 153/2500 - Reward: 43.80 | Score: 120 | Avg: 77.6
Episode 155/2500 - Reward: 58.70 | Score: 150 | Avg: 77.4
Episode 157/2500 - Reward: 19.15 | Score: 70 | Avg: 77.5
Episode 160/2500 - Reward: 19.10 | Score: 70 | Avg: 77.4
Episode 161/2500 - Reward: -0.75 | Score: 30 | Avg: 77.4
Episode 162/2500 - Reward: 33.40 | Score: 100 | Avg: 78.1
Episode 168/2500 - Reward: 38.90 | Score: 110 | Avg: 75.5
Episode 171/2500 - Reward: 33.95 | Score: 100 | Avg: 76.0
Episode 174/2500 - Reward: 38.90 | Score: 110 | Avg: 76.4
Episode 175/2500 - Reward: 43.90 | Score: 120 | Avg: 77.2
Episode 181/2500 - Reward: 8.65 | Score: 40 | Avg: 75.2
Episode 187/2500 - Reward: 14.05 | Score: 60 | Avg: 70.4
Episode 189/2500 - Reward: 33.95 | Score: 100 | Avg: 70.6
Episode 190/2500 - Reward: 14.20 | Score: 60 | Avg: 70.8
Episode 191/2500 - Reward: 56.20 | Score: 150 | Avg: 71.9
Episode 192/2500 - Reward: 14.20 | Score: 60 | Avg: 72.2
Episode 194/2500 - Reward: 132.40 | Score: 310 | Avg: 74.9
Episode 195/2500 - Reward: 19.30 | Score: 60 | Avg: 71.2
Episode 197/2500 - Reward: 72.10 | Score: 180 | Avg: 70.5
Episode 199/2500 - Reward: 131.70 | Score: 300 | Avg: 72.1
Episode 200/2500 - Reward: 62.25 | Score: 160 | Avg: 73.1
Episode 201/2500 - Reward: 61.85 | Score: 160 | Avg: 74.1
Episode 204/2500 - Reward: 34.50 | Score: 100 | Avg: 72.4
Episode 205/2500 - Reward: 42.30 | Score: 120 | Avg: 73.3
Episode 206/2500 - Reward: 23.45 | Score: 80 | Avg: 73.0
Episode 207/2500 - Reward: 18.60 | Score: 70 | Avg: 73.0
Episode 208/2500 - Reward: 57.75 | Score: 150 | Avg: 74.2
Episode 210/2500 - Reward: 14.75 | Score: 60 | Avg: 73.0
Episode 211/2500 - Reward: 4.80 | Score: 40 | Avg: 71.3
Episode 213/2500 - Reward: 38.55 | Score: 110 | Avg: 69.1
Episode 214/2500 - Reward: 209.40 | Score: 460 | Avg: 72.6
Episode 217/2500 - Reward: 137.05 | Score: 310 | Avg: 73.2
Episode 218/2500 - Reward: 174.40 | Score: 400 | Avg: 76.9
Episode 219/2500 - Reward: 62.90 | Score: 150 | Avg: 78.1
Episode 220/2500 - Reward: 193.05 | Score: 430 | Avg: 82.0
Episode 221/2500 - Reward: 122.10 | Score: 280 | Avg: 82.1
Episode 222/2500 - Reward: 91.50 | Score: 220 | Avg: 83.3
Episode 223/2500 - Reward: 24.05 | Score: 80 | Avg: 83.5
Episode 224/2500 - Reward: 281.60 | Score: 490 | Avg: 88.0
Episode 225/2500 - Reward: 93.40 | Score: 220 | Avg: 89.9
Episode 226/2500 - Reward: 96.45 | Score: 230 | Avg: 91.4
Episode 227/2500 - Reward: 19.65 | Score: 70 | Avg: 91.3
Episode 228/2500 - Reward: 24.35 | Score: 80 | Avg: 91.8
Episode 229/2500 - Reward: 168.05 | Score: 370 | Avg: 95.2
Episode 230/2500 - Reward: 24.05 | Score: 80 | Avg: 94.9
Episode 231/2500 - Reward: 18.70 | Score: 60 | Avg: 95.1
Episode 234/2500 - Reward: 130.05 | Score: 300 | Avg: 97.2
Episode 235/2500 - Reward: 24.10 | Score: 80 | Avg: 97.7
Episode 238/2500 - Reward: 38.90 | Score: 110 | Avg: 98.0
Episode 241/2500 - Reward: 4.25 | Score: 40 | Avg: 97.4
Episode 243/2500 - Reward: 14.10 | Score: 60 | Avg: 96.9
Episode 247/2500 - Reward: 14.15 | Score: 60 | Avg: 96.0
Episode 251/2500 - Reward: -0.70 | Score: 30 | Avg: 94.7
Episode 257/2500 - Reward: 38.90 | Score: 110 | Avg: 92.8
Episode 261/2500 - Reward: 4.25 | Score: 40 | Avg: 92.7
Episode 263/2500 - Reward: 14.20 | Score: 60 | Avg: 92.4
Episode 265/2500 - Reward: 19.20 | Score: 70 | Avg: 92.9
Episode 266/2500 - Reward: 14.25 | Score: 60 | Avg: 93.2
Episode 268/2500 - Reward: 38.95 | Score: 110 | Avg: 93.3
Episode 271/2500 - Reward: 4.20 | Score: 40 | Avg: 92.8
Episode 272/2500 - Reward: 24.10 | Score: 80 | Avg: 93.3
Episode 274/2500 - Reward: 24.15 | Score: 80 | Avg: 93.0
Episode 281/2500 - Reward: 29.35 | Score: 80 | Avg: 92.6
Episode 282/2500 - Reward: 90.90 | Score: 220 | Avg: 94.5
Episode 285/2500 - Reward: 132.25 | Score: 300 | Avg: 97.1
Episode 286/2500 - Reward: 33.10 | Score: 100 | Avg: 97.8
Episode 287/2500 - Reward: 157.75 | Score: 350 | Avg: 100.7
Episode 288/2500 - Reward: 81.85 | Score: 200 | Avg: 102.4
Episode 289/2500 - Reward: 73.80 | Score: 180 | Avg: 103.2
Episode 290/2500 - Reward: 24.60 | Score: 80 | Avg: 103.4
Episode 291/2500 - Reward: -1.35 | Score: 30 | Avg: 102.2
Episode 295/2500 - Reward: 123.35 | Score: 280 | Avg: 101.4
Episode 296/2500 - Reward: 18.45 | Score: 70 | Avg: 101.8
Episode 297/2500 - Reward: 38.85 | Score: 110 | Avg: 101.1
Episode 298/2500 - Reward: 155.30 | Score: 350 | Avg: 104.3
Episode 299/2500 - Reward: 14.25 | Score: 60 | Avg: 101.9
Episode 300/2500 - Reward: 195.25 | Score: 430 | Avg: 104.6
Episode 301/2500 - Reward: 4.40 | Score: 40 | Avg: 103.4
Episode 303/2500 - Reward: 158.20 | Score: 360 | Avg: 106.8
Episode 304/2500 - Reward: 87.55 | Score: 200 | Avg: 107.8
Episode 306/2500 - Reward: 64.00 | Score: 160 | Avg: 107.7
Episode 308/2500 - Reward: 285.25 | Score: 490 | Avg: 110.7
Episode 309/2500 - Reward: 19.65 | Score: 70 | Avg: 111.0
Episode 311/2500 - Reward: 172.00 | Score: 380 | Avg: 114.1
Episode 312/2500 - Reward: 181.60 | Score: 400 | Avg: 117.8
Episode 313/2500 - Reward: 23.25 | Score: 80 | Avg: 117.5
Episode 314/2500 - Reward: 14.60 | Score: 60 | Avg: 113.5
Episode 315/2500 - Reward: 37.25 | Score: 110 | Avg: 114.3
Episode 316/2500 - Reward: 133.15 | Score: 300 | Avg: 117.0
Episode 317/2500 - Reward: 117.25 | Score: 270 | Avg: 116.6
Episode 318/2500 - Reward: 113.30 | Score: 260 | Avg: 115.2
Episode 319/2500 - Reward: 39.10 | Score: 110 | Avg: 114.8
Episode 320/2500 - Reward: 22.60 | Score: 80 | Avg: 111.3
Episode 321/2500 - Reward: 110.85 | Score: 270 | Avg: 111.2
Episode 323/2500 - Reward: 39.35 | Score: 110 | Avg: 109.7
Episode 324/2500 - Reward: 39.00 | Score: 110 | Avg: 105.9
Episode 325/2500 - Reward: 151.80 | Score: 340 | Avg: 107.1
Episode 326/2500 - Reward: 200.05 | Score: 440 | Avg: 109.2
Episode 327/2500 - Reward: 172.75 | Score: 380 | Avg: 112.3
Episode 328/2500 - Reward: 202.35 | Score: 440 | Avg: 115.9
Episode 329/2500 - Reward: 57.80 | Score: 150 | Avg: 113.7
Episode 330/2500 - Reward: 64.10 | Score: 160 | Avg: 114.5
Episode 331/2500 - Reward: 18.45 | Score: 70 | Avg: 114.6
Episode 332/2500 - Reward: 73.45 | Score: 180 | Avg: 116.1
Episode 333/2500 - Reward: 24.60 | Score: 80 | Avg: 116.6
Episode 334/2500 - Reward: 63.40 | Score: 160 | Avg: 115.2
Episode 335/2500 - Reward: 17.00 | Score: 70 | Avg: 115.1
Episode 336/2500 - Reward: 162.35 | Score: 360 | Avg: 118.4
Episode 338/2500 - Reward: 37.60 | Score: 110 | Avg: 118.5
Episode 341/2500 - Reward: -25.00 | Score: 0 | Avg: 117.3
Episode 344/2500 - Reward: -4.25 | Score: 70 | Avg: 116.7
Episode 348/2500 - Reward: 66.55 | Score: 200 | Avg: 118.3
Episode 349/2500 - Reward: 110.80 | Score: 280 | Avg: 120.7
Episode 350/2500 - Reward: 18.30 | Score: 80 | Avg: 121.1
Episode 351/2500 - Reward: -1.30 | Score: 30 | Avg: 121.1
Episode 353/2500 - Reward: 21.35 | Score: 80 | Avg: 121.6
Episode 354/2500 - Reward: 102.35 | Score: 240 | Avg: 123.7
Episode 356/2500 - Reward: 39.35 | Score: 110 | Avg: 124.5
Episode 357/2500 - Reward: 77.80 | Score: 180 | Avg: 125.2
Episode 359/2500 - Reward: 62.95 | Score: 160 | Avg: 126.3
Episode 361/2500 - Reward: -0.10 | Score: 30 | Avg: 126.2
Episode 362/2500 - Reward: 79.10 | Score: 190 | Avg: 127.7
Episode 363/2500 - Reward: 54.35 | Score: 140 | Avg: 128.5
Episode 364/2500 - Reward: 24.65 | Score: 80 | Avg: 128.9
Episode 366/2500 - Reward: 54.35 | Score: 140 | Avg: 129.3
Episode 367/2500 - Reward: 14.75 | Score: 60 | Avg: 129.5
Episode 368/2500 - Reward: 19.65 | Score: 70 | Avg: 129.1
Episode 369/2500 - Reward: 39.45 | Score: 110 | Avg: 129.8
Episode 370/2500 - Reward: 74.10 | Score: 180 | Avg: 131.2
Episode 371/2500 - Reward: -0.15 | Score: 30 | Avg: 131.1
Episode 373/2500 - Reward: 93.95 | Score: 220 | Avg: 132.6
Episode 374/2500 - Reward: 84.05 | Score: 200 | Avg: 133.8
Episode 375/2500 - Reward: 24.65 | Score: 80 | Avg: 134.3
Episode 376/2500 - Reward: 64.20 | Score: 160 | Avg: 135.6
Episode 377/2500 - Reward: 19.70 | Score: 70 | Avg: 136.0
Episode 378/2500 - Reward: 74.05 | Score: 180 | Avg: 137.5
Episode 379/2500 - Reward: 14.75 | Score: 60 | Avg: 137.7
Episode 380/2500 - Reward: 98.85 | Score: 230 | Avg: 139.7
Episode 381/2500 - Reward: 59.20 | Score: 150 | Avg: 140.4
