episode,total_reward,epsilon
264,-112.07,0.0265
265,-115.0,0.0264
266,-203.73,0.0262
267,-6069.16,0.0261
268,-120.56,0.026
269,-146.87,0.0258
270,-2549.57,0.0257
271,-7525.68,0.0256
272,-844.45,0.0255
273,-114.02,0.0253
274,-1652.94,0.0252
275,-2368.71,0.0251
276,-3481.97,0.0249
277,-107.94,0.0248
278,-135.19,0.0247
279,-123.73,0.0246
280,-105.89,0.0245
281,-149.75,0.0243
282,-117.62,0.0242
283,-107.39,0.0241
284,-2497.52,0.024
285,-2426.93,0.0238
286,-100.8,0.0237
287,-123.47,0.0236
288,-148.18,0.0235
289,-105.45,0.0234
290,-99.3,0.0233
291,-113.02,0.0231
292,-153.17,0.023
293,-124.56,0.0229
294,-120.75,0.0228
295,-103.57,0.0227
296,-138.43,0.0226
297,-118.99,0.0225
298,-14856.57,0.0223
299,-131.01,0.0222
300,-102.4,0.0221
301,-100.95,0.022
302,-135.85,0.0219
303,-103.05,0.0218
304,-174.94,0.0217
305,-113.98,0.0216
306,-279.51,0.0215
307,-14209.66,0.0214
308,-4541.74,0.0212
309,-258.96,0.0211
310,-321.42,0.021
311,-15518.08,0.0209
312,-136.0,0.0208
313,-4656.47,0.0207
314,-177.13,0.0206
315,-4151.41,0.0205
316,-6480.34,0.0204
317,-194.34,0.0203
318,-4682.41,0.0202
319,-4599.57,0.0201
320,-169.47,0.02
321,-149.97,0.02
322,-2551.42,0.02
323,-183.17,0.02
324,-1680.74,0.02
325,-2565.69,0.02
326,-175.01,0.02
327,-126.04,0.02
328,-263.11,0.02
329,-6812.08,0.02
330,-4982.04,0.02
331,-5964.05,0.02
332,-970.83,0.02
333,-336.0,0.02
334,-135.7,0.02
335,-133.07,0.02
336,-292.08,0.02
337,-2530.14,0.02
338,-178.34,0.02
339,-133.51,0.02
340,-107.34,0.02
341,-9992.2,0.02
342,-203.45,0.02
343,-353.62,0.02
344,-7175.73,0.02
345,-4776.24,0.02
346,-241.56,0.02
347,-105.93,0.02
348,-141.7,0.02
349,-191.54,0.02
350,-122.49,0.02
351,-288.18,0.02
352,-157.2,0.02
353,-158.88,0.02
354,-138.64,0.02
355,-1247.95,0.02
356,-181.1,0.02
357,-205.25,0.02
358,-10224.58,0.02
359,-267.17,0.02
360,-2554.81,0.02
361,-5719.22,0.02
362,-13694.81,0.02
363,-145.52,0.02
364,-2567.74,0.02
365,-114.84,0.02
366,-250.98,0.02
367,-585.94,0.02
368,-8726.25,0.02
369,-231.02,0.02
370,-125.61,0.02
371,-281.86,0.02
372,-1880.96,0.02
373,-147.13,0.02
374,-4407.4,0.02
375,-5657.96,0.02
376,-102.86,0.02
377,-102.36,0.02
378,-6162.78,0.02
379,-247.76,0.02
380,-9527.3,0.02
381,-116.83,0.02
382,-100.66,0.02
383,-232.97,0.02
384,-2567.42,0.02
385,-4934.46,0.02
386,-4725.41,0.02
387,-3671.22,0.02
388,-5109.82,0.02
389,-115.67,0.02
390,-12180.15,0.02
391,-2561.05,0.02
392,-215.12,0.02
393,-4565.12,0.02
394,-4116.66,0.02
395,-176.16,0.02
396,-6844.19,0.02
397,-245.07,0.02
398,-2678.42,0.02
399,-258.2,0.02
400,-8375.71,0.02
401,-178.82,0.02
402,-7014.9,0.02
403,-6953.14,0.02
404,-4381.34,0.02
405,-132.8,0.02
406,-120.35,0.02
407,-203.75,0.02
408,-3581.65,0.02
409,-6925.21,0.02
410,-256.74,0.02
411,-11930.29,0.02
412,-131.72,0.02
413,-272.81,0.02
414,-2111.99,0.02
415,-128.35,0.02
416,-2964.0,0.02
417,-166.05,0.02
418,-2578.93,0.02
419,-242.87,0.02
420,-2624.92,0.02
421,-1137.67,0.02
422,-2634.43,0.02
423,-10922.47,0.02
424,-260.88,0.02
425,-7973.43,0.02
426,-5938.37,0.02
427,-1613.47,0.02
428,-185.24,0.02
429,-1989.05,0.02
430,-5778.48,0.02
431,-6510.22,0.02
432,-156.7,0.02
433,-125.14,0.02
434,-136.52,0.02
435,-131.47,0.02
436,-112.85,0.02
437,-165.25,0.02
438,-110.06,0.02
439,-132.29,0.02
440,-222.88,0.02
441,-206.96,0.02
442,-266.44,0.02
443,-323.33,0.02
444,-12320.77,0.02
445,-100.32,0.02
446,-3090.77,0.02
447,-111.2,0.02
448,-344.02,0.02
449,-158.03,0.02
450,-183.79,0.02
451,-7555.43,0.02
452,-5701.23,0.02
453,-183.37,0.02
454,-153.84,0.02
455,-14219.58,0.02
456,-454.68,0.02
457,-233.8,0.02
458,-3532.72,0.02
459,-228.26,0.02
460,-7043.03,0.02
461,-2512.81,0.02
462,-18873.85,0.02
463,-2626.5,0.02
464,-8539.04,0.02
465,-185.31,0.02
466,-106.43,0.02
467,-221.32,0.02
468,-146.06,0.02
469,-7860.97,0.02
470,-11911.29,0.02
471,-136.46,0.02
472,-2583.87,0.02
473,-15205.27,0.02
474,-2175.48,0.02
475,-429.18,0.02
476,-3687.54,0.02
477,-141.36,0.02
478,-113.11,0.02
479,-183.3,0.02
480,-112.58,0.02
481,-110.71,0.02
482,-134.03,0.02
